file,time,word,phoneme,automatic_ipa,F1,F2,F3,syllable_position,syllable,initial_syllable
Bulat,0.7469230044535802,игъланнарында,и,i,276.2581451672113,2201.9609090311,2850.7814654790527,1,игъ,initial syllable
Bulat,1.0050952380952378,игъланнарында,а,ɑ,632.1195665132392,1211.353044128214,2515.35783385405,2,лан,outside initial syllable
Bulat,1.2010952380952382,игъланнарында,а,ɑ,610.880848992167,1415.6576418239306,2784.981127158078,3,на,outside initial syllable
Bulat,1.325595238095238,игъланнарында,ы,ɯ,498.74193524902415,1382.0382418146576,2438.907545410881,4,рын,outside initial syllable
Bulat,1.6223648509763624,игъланнарында,а,ɑ,723.8535859787662,1453.0353157772408,2677.081441621191,5,да,final syllable
Bulat,2.973727183798768,юлына,у,u,347.93256973329244,1422.20965620087,2410.6505279737225,1,ю,initial syllable
Bulat,3.1012790851348417,юлына,ы,ɯ,439.00324084926217,1134.4190328626876,2570.494380475177,2,лы,outside initial syllable
Bulat,3.3494507192561165,юлына,а,ɑ,701.6535172540048,1312.6585284537255,2247.0865875050526,3,на,final syllable
Bulat,4.840170051568826,оныгыз,о,o,533.9067184551884,1133.3387246874938,2687.1122087532817,1,о,initial syllable
Bulat,5.029655102368178,оныгыз,ы,ɯ,524.8937064328259,1221.349905674469,2809.369894991685,2,ны,outside initial syllable
Bulat,5.212664352111241,оныгыз,ы,ɯ,535.222808082416,1292.0135752787935,2533.0057937829124,3,гыз,final syllable
Bulat,7.1674400153346705,укытучы,у,u,304.5662452653262,1255.9048820892945,2303.756433918837,1,у,initial syllable
Bulat,7.283928057553957,укытучы,ы,ɯ,515.4933368279155,1202.0348904421699,2668.0558739889025,2,кы,outside initial syllable
Bulat,7.436143884892084,укытучы,у,u,398.89510765510653,1286.4343882805172,2388.277418661245,3,ту,outside initial syllable
Bulat,7.72218705035971,укытучы,ы,ɯ,558.6868600651536,1485.0220133734556,2527.082928049601,4,чы,final syllable
Bulat,8.955311842362844,көрәксез,ө,œ,476.3959941369785,1385.863014396877,2235.4929113746384,1,кө,initial syllable
Bulat,9.03872816032888,көрәксез,ә,æ,557.2939600004107,1488.4980913351912,2177.8403675495915,2,рәк,outside initial syllable
Bulat,9.353959403905446,көрәксез,е,e,386.24071425711867,1548.4259346454874,2470.4710795986152,3,сез,final syllable
Bulat,10.625516046346595,бәялиләр,ә,æ,442.8111820675325,1866.817430600076,2463.2834321011096,1,б,initial syllable
Bulat,10.803138360739979,бәялиләр,ә,æ,551.413160863207,1791.774543378223,2561.299152038509,2,әя,outside initial syllable
Bulat,10.960069886947586,бәялиләр,и,i,318.9485202688049,2202.681004004759,2752.349391138501,3,ли,outside initial syllable
Bulat,11.141300488180883,бәялиләр,ә,æ,545.4237415081373,1778.0353562143366,2596.5230106728663,4,ләр,final syllable
Bulat,12.393864229024944,гаиләләрендә,а,ɒ,557.6326331325771,1208.5348451927978,2173.3691773524342,1,г,initial syllable
Bulat,12.570993833504627,гаиләләрендә,ә,æ,486.5422051759957,1640.2984577400525,2433.255450000497,2,аи,outside initial syllable
Bulat,12.72642034943474,гаиләләрендә,ә,æ,527.0380873502503,1541.2602900219406,2502.855534728925,3,лә,outside initial syllable
Bulat,12.828742805755393,гаиләләрендә,е,e,375.3686275638945,1549.8345773702292,2501.681740459475,4,лә,outside initial syllable
Bulat,13.127938848920865,гаиләләрендә,ә,æ,571.0760563843918,1714.8740313866012,2612.547086118345,5,рен,final syllable
Bulat,14.675078365878726,бозыклыгыннан,о,o,429.3886164167656,1232.1385800086625,2682.0545188727515,1,бо,initial syllable
Bulat,14.794147482014386,бозыклыгыннан,ы,ɯ,488.6449302952386,1180.9567334798164,2699.729143850647,2,зык,outside initial syllable
Bulat,14.994450668037,бозыклыгыннан,ы,ɯ,507.28713526050336,1118.4243718847217,2648.270938533522,3,лы,outside initial syllable
Bulat,15.080135919835561,бозыклыгыннан,ы,ɯ,499.4963486561872,1179.7688764004567,2349.6563869646875,4,гын,outside initial syllable
Bulat,15.282664696813976,бозыклыгыннан,а,ɑ,643.4620011377494,1365.12021263939,2286.764266178515,5,нан,final syllable
Bulat,16.465572691604464,аерылырга,а,ɒ,603.5862246869889,1038.796199579077,2245.4011321063326,1,ае,initial syllable
Bulat,16.57179146012217,аерылырга,е,e,417.6935969244745,1848.108499612922,2306.1992379210087,2,ры,outside initial syllable
Bulat,16.732140947211402,аерылырга,ы,ɯ,558.5768949361933,1299.045977459469,2517.746820595868,3,лыр,outside initial syllable
Bulat,16.866957076483878,аерылырга,ы,ɯ,570.9987196363867,1268.2020221122584,2597.741793483215,4,га,outside initial syllable
Bulat,17.126375991902126,аерылырга,а,ɑ,706.553500575241,1305.3154465680166,2368.924090233163,5,CHECK,final syllable
Bulat,18.390099948612534,бауына,а,ɑ,619.3412767848703,996.5897430883459,2456.8415857017512,1,б,initial syllable
Bulat,18.5595914696814,бауына,ы,ɯ,577.2811494153282,1227.7311876240012,2397.1384742348955,2,ауы,outside initial syllable
Bulat,18.787313206577593,бауына,а,ɑ,694.4670454435053,1325.5005453844947,2324.142450593562,3,на,final syllable
Bulat,20.059028776978415,бусагасын,у,u,394.7133278016781,1016.1575069771479,2857.8975076545726,1,бу,initial syllable
Bulat,20.31613926002056,бусагасын,а,ɑ,635.1019719796403,1271.2070569369087,2625.158994151915,2,са,outside initial syllable
Bulat,20.50675565262076,бусагасын,а,ɑ,666.0223683394827,1302.9273437916913,2453.8093012609424,3,га,outside initial syllable
Bulat,20.837748458376158,бусагасын,ы,ɯ,490.3390007442775,1400.6775338953714,2313.283436416655,4,сын,final syllable
Bulat,22.092761819116134,этләренең,е,e,476.6872437850306,1532.0839844650754,2600.441260174279,1,эт,initial syllable
Bulat,22.359832733812947,этләренең,ә,æ,619.2696548042526,1635.1626567870085,2670.6757643373066,2,лә,outside initial syllable
Bulat,22.474450668037,этләренең,е,e,485.66162207406893,1654.7885172127624,2608.159976345503,3,ре,outside initial syllable
Bulat,22.65806192189105,этләренең,е,e,574.1516112573222,1754.622597730093,2662.82046944371,4,нең,final syllable
Bulat,23.95505781089414,кулының,у,u,426.4004158101288,811.0693977225792,2518.4715987094132,1,ку,initial syllable
Bulat,24.06177672147996,кулының,ы,ɯ,519.4594645290276,1156.6059820486487,2671.614696688005,2,лы,outside initial syllable
Bulat,24.256333504624873,кулының,ы,ɯ,560.7312841855282,1313.6656473019384,2172.8082479766667,3,ның,final syllable
Bulat,25.687873281929804,сыннарын,ы,ɯ,467.34677917960886,1295.515887014393,2690.079022478762,1,сын,initial syllable
Bulat,25.9209265068363,сыннарын,а,ɑ,727.9802972833522,1448.349355432286,2784.9506373202053,2,на,outside initial syllable
Bulat,26.073189144560512,сыннарын,ы,ɯ,593.1609237198011,1492.7687218493193,2773.1842722156994,3,рын,final syllable
Bulat,27.55998697304416,кадәрле,а,ɒ,630.0288827051169,1520.2043261698782,2525.6683433438993,1,ка,initial syllable
Bulat,27.718489685941485,кадәрле,ә,æ,576.3570730451113,1663.7624473605483,2657.1968422393647,2,дәр,outside initial syllable
Bulat,28.058756243450432,кадәрле,е,e,490.7796697814511,1795.2714029093884,2778.2813898407658,3,ле,final syllable
Bulat,29.160093149969818,монысы,о,o,569.4072799710808,1275.072394752513,2394.576458047865,1,мо,initial syllable
Bulat,29.2617774759784,монысы,ы,ɯ,339.1613526483735,1342.6051122358979,2481.152863736151,2,ны,outside initial syllable
Bulat,29.54674691675231,монысы,ы,ɯ,528.2395753749881,1424.3920228550655,2596.034902664987,3,сы,final syllable
Bulat,30.831541623843783,ераклыкка,ы,ɯ,472.41230835682785,1639.5574741472665,2478.7300208341185,1,е,initial syllable
Bulat,30.911845323741012,ераклыкка,а,ɑ,649.8604566951573,1483.5914645519165,2467.471335691487,2,рак,outside initial syllable
Bulat,31.155941512096447,ераклыкка,ы,ɯ,473.98191744190217,1129.8024666587794,2415.328998312808,3,лык,outside initial syllable
Bulat,31.489805755395693,ераклыкка,а,ɑ,634.7478932342632,1365.8843754356994,2150.8504085101604,4,ка,final syllable
Bulat,32.70062667009249,белеменнән,е,e,506.6829076825272,1610.998571514607,2366.3164800767586,1,бе,initial syllable
Bulat,32.80841276978418,белеменнән,е,e,462.14383461043343,1716.2803426109185,2480.233505664146,2,ле,outside initial syllable
Bulat,32.931139516957856,белеменнән,е,e,484.7095683328482,1675.2098642190936,2497.666508420972,3,мен,outside initial syllable
Bulat,33.18084125556697,белеменнән,ә,æ,621.4059823131868,1672.1545418708304,2653.741603332694,4,нән,final syllable
Bulat,34.696355491331865,бәетемнең,е,e,522.9211381009626,1822.283945067712,2498.811906851079,1,б,initial syllable
Bulat,34.79421902015717,бәетемнең,е,e,355.1528050138424,2212.0001156866847,2805.7398711961073,2,әе,outside initial syllable
Bulat,35.00972700384693,бәетемнең,е,e,443.0348773889888,1547.412751783003,2277.897469323049,3,тем,outside initial syllable
Bulat,35.235646001241506,бәетемнең,е,e,534.5297749298725,1867.3188301402984,2565.115265429805,4,нең,final syllable
Bulat,36.94333915724563,чыгышыгыз,ы,ɯ,477.49906500523787,1424.038771767855,2306.440985845997,1,чы,initial syllable
Bulat,37.047686536485095,чыгышыгыз,ы,ɯ,486.03688987439375,1381.877125134203,2437.1912068878155,2,гы,outside initial syllable
Bulat,37.244049331963,чыгышыгыз,ы,ɯ,547.9144045719798,1354.6888963304284,2368.0722748079447,3,шы,outside initial syllable
